Počty podnikatelů dle občanství podnikajících v České republice,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
Období:,stav k 31. 12. 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Afghánistán,004,AF,AFG,15,7,0,0,1,6,2,0,0,1,13,4,2,0,51
Albánie,008,AL,ALB,11,8,4,1,1,2,1,2,1,1,2,1,1,4,40
Alžírsko,012,DZ,DZA,97,22,3,0,1,8,2,1,1,1,9,2,3,0,150
Angola,024,AO,AGO,10,2,2,0,0,3,2,1,1,0,6,3,2,2,34
Ázerbájdžán,031,AZ,AZE,44,3,0,2,4,4,0,1,0,0,2,4,0,0,64
Argentina,032,AR,ARG,15,1,0,0,0,2,0,0,1,0,1,0,1,0,21
Austrálie,036,AU,AUS,43,3,5,3,0,5,4,4,6,0,7,2,2,3,87
Rakousko,040,AT,AUT,104,23,108,3,20,35,7,4,5,6,121,16,10,24,486
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,3,0,0,0,0,2,0,13
Arménie,051,AM,ARM,132,23,2,5,8,33,6,4,3,19,69,2,13,2,321
Belgie,056,BE,BEL,48,18,6,4,4,7,5,5,1,2,6,1,3,3,113
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0,9
Bosna a Hercegovina,070,BA,BIH,134,36,7,0,4,16,9,7,5,0,47,6,10,1,282
Brazílie,076,BR,BRA,34,2,2,1,0,3,0,1,2,0,4,0,2,0,51
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Kosovo,095,XK,XXK,9,5,0,3,3,3,1,2,1,0,4,1,2,0,34
Bulharsko,100,BG,BGR,649,208,58,42,28,110,38,22,24,48,126,79,59,25,1516
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5
Bělorusko,112,BY,BLR,270,58,14,30,24,47,10,14,15,15,29,12,16,11,565
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2,9
Kamerun,120,CM,CMR,12,1,0,0,0,3,1,0,0,0,1,0,0,0,18
Kanada,124,CA,CAN,96,10,7,3,1,1,3,3,5,0,5,3,4,6,147
Šrí Lanka,144,LK,LKA,9,1,0,0,1,0,0,0,0,1,1,0,0,0,13
Čad,148,TD,TCD,19,9,4,9,0,8,3,10,3,1,8,2,4,0,80
Chile,152,CL,CHL,16,1,0,1,0,1,0,0,1,0,1,2,0,1,24
Čína,156,CN,CHN,164,26,5,5,1,23,0,2,4,3,6,2,7,2,250
