Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Afghánistán,004,AF,AFG,17,7,0,0,2,7,2,0,0,1,11,3,2,0,52,2017,2
Albánie,008,AL,ALB,15,7,4,1,1,3,1,2,1,1,2,1,2,4,45,2017,2
Alžírsko,012,DZ,DZA,92,20,4,0,0,7,2,1,1,1,8,3,2,1,142,2017,2
Angola,024,AO,AGO,10,2,2,0,0,2,3,1,1,0,6,3,1,2,33,2017,2
Ázerbájdžán,031,AZ,AZE,58,4,1,1,4,4,0,1,0,0,2,3,0,0,78,2017,2
Argentina,032,AR,ARG,17,1,0,0,0,2,0,0,1,0,2,1,1,0,25,2017,2
Austrálie,036,AU,AUS,60,3,5,3,0,5,4,4,7,0,4,2,3,3,103,2017,2
Rakousko,040,AT,AUT,119,23,111,5,21,36,7,4,4,7,120,16,11,24,508,2017,2
Bangladéš,050,BD,BGD,6,1,0,1,1,0,0,0,0,0,0,0,3,0,12,2017,2
Arménie,051,AM,ARM,135,28,2,5,8,32,6,4,2,20,73,2,11,2,330,2017,2
Belgie,056,BE,BEL,55,20,7,4,4,6,5,5,1,2,6,1,2,3,121,2017,2
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0,9,2017,2
Bosna a Hercegovina,070,BA,BIH,127,33,7,0,4,15,10,7,5,0,45,7,9,1,270,2017,2
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2017,2
Brazílie,076,BR,BRA,45,2,3,1,0,3,0,1,1,0,6,0,2,0,64,2017,2
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2017,2
Kosovo,095,XK,XXK,11,6,0,4,5,4,0,2,1,1,4,1,2,0,41,2017,2
Bulharsko,100,BG,BGR,717,229,56,64,28,112,40,25,25,43,121,79,61,25,1625,2017,2
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5,2017,2
Bělorusko,112,BY,BLR,301,63,13,27,29,58,10,15,16,15,28,11,16,12,614,2017,2
Kambodža,116,KH,KHM,2,2,0,0,0,0,1,0,0,0,1,0,0,2,8,2017,2
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0,18,2017,2
Kanada,124,CA,CAN,96,12,7,4,1,1,3,4,5,0,5,4,6,5,153,2017,2
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,1,0,0,0,14,2017,2
Čad,148,TD,TCD,19,9,4,9,0,6,3,11,2,1,9,3,4,0,80,2017,2
Chile,152,CL,CHL,16,1,1,1,0,1,0,0,1,0,1,2,0,1,25,2017,2
Čína,156,CN,CHN,166,28,5,5,1,22,0,2,1,3,7,2,7,2,251,2017,2
Tchaj-wan,158,TW,TWN,5,0,0,1,1,1,1,0,0,0,0,0,0,0,9,2017,2
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Kolumbie,170,CO,COL,20,2,0,1,0,0,0,2,1,0,3,1,2,0,32,2017,2
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0,15,2017,2
Demokratická republika Kongo,180,CD,COD,5,2,0,0,0,2,0,1,0,0,0,0,1,0,11,2017,2
Kostarika,188,CR,CRI,3,2,0,0,0,0,0,0,0,0,1,0,0,0,6,2017,2
Chorvatsko,191,HR,HRV,183,31,6,15,18,19,8,2,7,4,28,18,25,15,379,2017,2
