Občanství,021  Q3
Afghánistán,56
Albánie,49
Alžírsko,176
Angola,36
Ázerbájdžán,115
Argentina,40
Austrálie,114
Rakousko,509
Bangladéš,13
Arménie,364
Barbados,1
Belgie,154
Bolívie,15
Bosna a Hercegovina,289
Brazílie,94
Britské Panenské ostrovy,5
Kosovo,61
Bulharsko,1938
Myanmar,7
Bělorusko,771
Kambodža,5
Kamerun,25
Kanada,178
Kapverdy,1
Šrí Lanka,22
Čad,101
Chile,41
Čína,293
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,50
Konžská republika,17
Demokratická republika Kongo,18
Kostarika,8
Chorvatsko,440
Kuba,63
Kypr,24
Česko,2000116
Benin,18
Dánsko,84
Dominikánská republika,8
Ekvádor,16
Salvador,4
Etiopie,18
Eritrea,1
Estonsko,34
Finsko,73
Alandy,33
Francie,752
Gabon,1
Gruzie,108
Gambie,2
Palestina,12
Německo,3104
Ghana,54
Řecko,278
Guatemala,8
Guinea,21
Guyana,1
Honduras,10
Hongkong,1
Maďarsko,1325
Island,12
Indie,185
Indonésie,16
Írán,43
Irák,71
Irsko,255
Izrael,134
Itálie,1198
Pobřeží slonoviny,14
Jamajka,2
Japonsko,89
Kazachstán,704
Jordánsko,45
Keňa,13
Korejská lidově demokratická republika,3
Korejská republika,87
Kuvajt,3
Kyrgyzstán,111
Laos,5
Libanon,49
Lotyšsko,137
Libérie,1
Libye,19
Lichtenštejnsko,3
Litva,166
Lucembursko,7
Madagaskar,7
Malajsie,8
Mali,2
Malta,17
Mauritánie,1
Mauricius,3
Mexiko,90
Mongolsko,320
Moldavsko,837
Černá Hora,36
Maroko,71
Namibie,5
Nepál,9
Nizozemsko,357
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,35
Niger,10
Nigérie,187
Norsko,32
Pákistán,90
Panama,5
Paraguay,3
Peru,53
Filipíny,70
Polsko,2875
Portugalsko,127
Guinea-Bissau,3
Katar,1
Rumunsko,2516
Rusko,4032
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,21
Srbsko,269
Sierra Leone,4
Singapur,4
Slovensko,21256
Vietnam,20604
Slovinsko,84
Somálsko,2
Jižní Afrika,67
Zimbabwe,5
Španělsko,501
Súdán,6
Surinam,2
Švédsko,200
Švýcarsko,77
Sýrie,199
Tádžikistán,17
Thajsko,191
Togo,1
Tonga,1
Trinidad a Tobago,2
Spojené arabské emiráty,1
Tunisko,209
Turecko,235
Turkmenistán,8
Uganda,7
Ukrajina,25294
Severní Makedonie,344
Egypt,134
Velká Británie,1781
Guernsey,1
Tanzanie,5
Spojené státy,1625
Burkina Faso,2
Uruguay,4
Uzbekistán,449
Venezuela,33
Jemen,27
Srbsko a Černá Hora,364
Zambie,4
