Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2021 Q4,Středočeský kraj 2021 Q4,Jihočeský kraj 2021 Q4,Plzeňský kraj 2021 Q4,Karlovarský kraj 2021 Q4,Ústecký kraj 2021 Q4,Liberecký kraj 2021 Q4,Královéhradecký kraj 2021 Q4,Pardubický kraj 2021 Q4,Kraj Vysočina 2021 Q4,Jihomoravský kraj 2021 Q4,Olomoucký kraj 2021 Q4,Moravskoslezský kraj 2021 Q4,Zlínský kraj 2021 Q4
Afghánistán,004,AF,AFG,20,8,0,0,2,6,2,0,0,3,10,4,3,0
Albánie,008,AL,ALB,21,7,2,1,1,5,1,1,1,1,3,0,1,4
Alžírsko,012,DZ,DZA,105,24,4,0,1,14,3,0,1,0,11,2,5,3
Angola,024,AO,AGO,13,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,97,9,2,1,4,2,0,1,2,1,2,3,1,0
Argentina,032,AR,ARG,27,3,1,0,0,1,0,1,1,0,7,1,0,0
Austrálie,036,AU,AUS,62,4,5,4,0,4,4,4,6,0,8,3,4,3
Rakousko,040,AT,AUT,138,20,99,6,20,32,7,5,5,8,125,15,7,23
Bangladéš,050,BD,BGD,8,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,165,35,2,4,6,29,8,4,5,21,70,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,70,29,7,5,3,7,4,7,3,2,9,1,3,2
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,141,38,5,2,5,16,10,6,4,0,45,8,10,3
Brazílie,076,BR,BRA,72,8,1,2,1,2,1,2,0,0,8,1,3,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,13,9,1,3,6,5,0,2,4,4,5,3,7,0
Bulharsko,100,BG,BGR,869,280,59,106,44,128,54,32,30,27,132,85,79,28
Myanmar,104,MM,MMR,3,3,0,0,0,0,0,0,1,0,1,0,0,0
