Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 022  Q1,Středočeský kraj 022  Q1,Jihočeský kraj 022  Q1,Plzeňský kraj 022  Q1,Karlovarský kraj 022  Q1,Ústecký kraj 022  Q1,Liberecký kraj 022  Q1,Královéhradecký kraj 022  Q1,Pardubický kraj 022  Q1,Kraj Vysočina 022  Q1,Jihomoravský kraj 022  Q1,Olomoucký kraj 022  Q1,Moravskoslezský kraj 022  Q1,Zlínský kraj 022  Q1
Afghánistán,004,AF,AFG,21,8,0,0,2,6,2,0,0,3,10,4,3,0
Albánie,008,AL,ALB,21,7,2,1,1,5,1,1,1,2,3,0,2,4
Alžírsko,012,DZ,DZA,105,24,4,0,1,13,3,0,1,0,10,2,5,3
Angola,024,AO,AGO,13,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,99,9,2,1,4,3,0,1,2,1,3,3,1,0
Argentina,032,AR,ARG,29,3,1,0,0,1,0,1,1,0,7,1,0,0
Austrálie,036,AU,AUS,61,4,5,5,0,4,5,3,6,0,8,3,4,3
Rakousko,040,AT,AUT,141,19,97,4,20,32,7,5,5,9,123,14,7,22
Bangladéš,050,BD,BGD,11,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,169,36,2,5,7,28,8,4,5,21,69,2,11,2
Barbados,052,BB,BRB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,72,29,7,5,3,6,5,7,2,2,9,1,3,2
Bolívie,068,BO,BOL,9,1,0,1,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,142,37,5,2,5,16,10,6,4,0,45,8,9,3
Brazílie,076,BR,BRA,71,8,1,2,1,2,1,2,0,0,7,1,3,0
Britské Panenské ostrovy,092,VG,VGB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,15,9,1,3,6,5,0,2,4,4,5,3,6,0
Bulharsko,100,BG,BGR,869,283,58,115,45,134,55,33,30,26,131,86,79,29
Myanmar,104,MM,MMR,3,3,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,444,105,14,37,31,35,10,16,22,16,41,15,21,12
Kambodža,116,KH,KHM,3,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,18,3,1,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,121,11,10,3,2,1,3,4,7,0,4,3,7,7
Kapverdy,132,CV,CPV,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Šrí Lanka,144,LK,LKA,14,2,0,1,0,0,0,0,0,2,1,0,0,4
Čad,148,TD,TCD,26,11,4,10,3,6,4,12,2,3,16,5,4,1
Chile,152,CL,CHL,26,5,0,1,0,1,0,0,2,0,2,1,1,2
Čína,156,CN,CHN,188,37,5,4,3,21,0,2,3,4,9,5,9,2
Tchaj-wan,158,TW,TWN,18,0,1,1,0,0,1,0,0,0,0,0,0,1
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,38,4,0,1,0,1,0,1,1,0,2,1,2,1
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,0,0,1,0,0
Konžská demokratická republika,180,CD,COD,7,3,0,1,0,2,0,1,1,0,1,1,1,0
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,246,40,9,15,15,19,7,3,7,4,35,15,27,13
Kuba,192,CU,CUB,33,10,2,2,1,7,1,2,1,0,3,3,2,2
Kypr,196,CY,CYP,21,2,1,0,0,1,0,0,0,1,0,0,1,1
Česko,203,CZ,CZE,319696,270859,124467,106139,49772,128337,88599,107447,92786,89137,222723,109561,190505,109848
Benin,204,BJ,BEN,12,1,0,0,0,2,2,0,0,0,0,1,0,0
Dánsko,208,DK,DNK,58,8,1,1,0,3,6,0,0,1,3,0,5,1
Dominikánská republika,214,DO,DOM,7,2,1,0,0,0,1,0,0,0,0,0,0,0
Ekvádor,218,EC,ECU,5,4,0,1,0,0,0,1,1,0,3,1,1,0
Salvador,222,SV,SLV,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Etiopie,231,ET,ETH,16,2,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonsko,233,EE,EST,26,3,0,0,1,3,0,1,0,0,4,0,0,0
Finsko,246,FI,FIN,56,5,1,1,0,1,0,1,1,1,5,1,1,0
Alandy,248,AX,ALA,8,4,1,0,3,4,1,2,0,0,5,0,3,0
Francie,250,FR,FRA,550,61,18,21,7,8,5,7,11,9,34,11,20,11
Gruzie,268,GE,GEO,84,10,2,2,4,3,1,0,1,3,4,1,2,1
Gambie,270,GM,GMB,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Palestina,275,PS,PSE,6,3,0,0,0,2,1,0,0,0,0,1,0,0
Německo,276,DE,DEU,597,234,94,261,255,1247,73,50,32,28,108,67,56,21
Ghana,288,GH,GHA,42,4,0,1,0,7,2,1,4,0,2,1,0,1
Řecko,300,GR,GRC,136,16,3,3,5,8,6,3,3,3,34,19,39,2
Guatemala,320,GT,GTM,6,2,0,0,0,0,0,0,0,1,0,0,0,0
Guinea,324,GN,GIN,16,3,0,0,0,0,0,1,0,0,1,0,1,0
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,340,HN,HND,8,1,0,0,0,0,0,0,1,0,0,0,0,0
Maďarsko,348,HU,HUN,673,140,23,135,36,52,33,36,41,24,130,32,27,9
Island,352,IS,ISL,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Indie,356,IN,IND,147,11,1,2,4,4,3,1,1,2,23,3,10,2
Indonésie,360,ID,IDN,10,1,0,0,0,0,0,1,1,0,2,1,4,0
Írán,364,IR,IRN,26,7,1,3,1,0,1,2,0,1,2,2,3,1
Irák,368,IQ,IRQ,29,7,0,2,1,8,1,1,4,1,12,0,4,1
Irsko,372,IE,IRL,169,19,9,6,4,6,8,1,3,3,16,3,7,5
Izrael,376,IL,ISR,83,22,1,0,2,5,0,5,1,0,7,2,3,1
Itálie,380,IT,ITA,760,99,23,34,16,45,12,10,14,6,96,30,54,40
Pobřeží slonoviny,384,CI,CIV,10,2,0,0,1,2,0,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,67,8,0,0,0,2,1,2,2,0,5,1,2,1
Kazachstán,398,KZ,KAZ,454,116,2,4,31,67,9,7,3,3,25,8,4,3
Jordánsko,400,JO,JOR,24,4,0,0,2,4,0,0,2,0,3,0,3,1
Keňa,404,KE,KEN,4,1,0,0,1,2,0,0,0,0,1,0,1,1
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,68,2,0,2,1,0,1,0,0,1,2,0,7,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstán,417,KG,KGZ,69,14,0,1,17,5,1,0,0,0,1,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,25,6,0,2,1,6,2,3,1,1,0,4,1,2
Lotyšsko,428,LV,LVA,79,21,10,7,3,5,0,1,0,10,6,0,1,3
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,10,1,0,0,0,0,1,1,0,0,5,0,2,0
Lichtenštejnsko,438,LI,LIE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Litva,440,LT,LTU,71,21,5,13,5,4,6,3,2,18,20,1,1,0
Lucembursko,442,LU,LUX,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,0,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,5,0,0,0,0,2,0,0,0,0,0,0,0,0
Maledivy,462,MV,MDV,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,10,2,2,0,0,1,0,1,0,0,0,1,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Mexiko,484,MX,MEX,63,13,1,1,1,0,0,3,2,0,6,1,2,3
Mongolsko,496,MN,MNG,106,19,3,15,17,48,30,17,5,14,35,9,3,13
Moldavsko,498,MD,MDA,318,168,24,58,16,40,49,29,17,25,54,27,7,19
Černá Hora,499,ME,MNE,17,5,0,3,2,2,1,1,0,0,1,2,1,0
Maroko,504,MA,MAR,37,7,0,1,0,6,3,1,0,1,6,1,4,2
Namibie,516,,NAM,2,1,0,0,0,0,0,0,0,0,0,0,1,0
Nepál,524,NP,NPL,6,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,146,39,24,14,5,19,20,22,12,8,28,10,5,7
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,19,5,0,0,0,2,1,1,1,0,4,1,1,1
Niger,562,NE,NER,7,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,152,12,0,0,0,11,1,1,2,0,6,0,3,1
Norsko,578,NO,NOR,16,4,1,0,0,3,2,1,0,0,2,1,1,2
Pákistán,586,PK,PAK,61,10,1,5,1,6,1,1,0,1,3,1,3,0
Panama,591,PA,PAN,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,18,14,1,1,0,6,0,2,0,0,8,1,2,0
Filipíny,608,PH,PHL,49,6,2,1,1,7,0,2,0,1,2,2,4,3
Polsko,616,PL,POL,598,198,44,64,41,121,151,303,76,28,139,164,1002,41
Portugalsko,620,PT,PRT,88,9,2,7,2,3,4,2,0,2,13,1,11,2
Guinea-Bissau,624,GW,GNB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
