Občanství,2023 Q3
Afghánistán,65
Albánie,57
Alžírsko,176
Angola,34
Ázerbájdžán,158
Argentina,48
Austrálie,108
Rakousko,481
Bangladéš,30
Arménie,393
Barbados,1
Belgie,173
Bolívie,14
Bosna a Hercegovina,297
Botswana,1
Brazílie,100
Britské Panenské ostrovy,4
Kosovo,79
Brunej,1
Bulharsko,2011
Myanmar,6
Burundi,1
Bělorusko,931
Kambodža,5
Kamerun,29
Kanada,188
Šrí Lanka,27
Čad,116
Chile,56
Čína,315
Tchaj-wan,23
Vánoční ostrov,1
Kolumbie,65
Konžská republika,18
Konžská demokratická republika,19
Kostarika,9
Chorvatsko,466
Kuba,75
Kypr,31
Česko,1787711
Benin,19
Dánsko,101
Dominikánská republika,13
Ekvádor,18
Salvador,5
Etiopie,16
Eritrea,1
Estonsko,46
Finsko,84
Alandy,27
Francie,827
Gruzie,133
Gambie,2
Palestina,13
Německo,3264
Ghana,81
Řecko,283
Guatemala,9
Guinea,21
Guyana,1
Honduras,11
Hongkong,1
Maďarsko,1615
Island,14
Indie,255
Indonésie,26
Írán,62
Irák,80
Irsko,285
Izrael,165
Itálie,1313
Pobřeží slonoviny,16
Jamajka,2
Japonsko,105
Kazachstán,855
Jordánsko,40
Keňa,14
Korejská lidově demokratická republika,3
Korejská republika,94
Kuvajt,4
Kyrgyzstán,140
Laos,5
Libanon,66
Lotyšsko,156
Libérie,1
Libye,20
Lichtenštejnsko,2
Litva,172
Lucembursko,10
Madagaskar,6
Malajsie,9
Maledivy,2
Mali,2
Malta,25
Mauritánie,1
Mauricius,5
Mexiko,107
Mongolsko,398
Moldavsko,888
Černá Hora,37
Maroko,76
Namibie,5
Nepál,16
Nizozemsko,377
Nizozemské Antily,1
Vanuatu,1
Nový Zéland,37
Nikaragua,2
Niger,11
Nigérie,212
Norsko,34
Pákistán,101
Panama,6
Paraguay,1
Peru,57
Filipíny,110
Polsko,2934
Portugalsko,165
Guinea-Bissau,3
Katar,1
Rumunsko,2982
Rusko,4942
Rwanda,2
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,1
Saúdská Arábie,1
Senegal,21
Srbsko,341
Sierra Leone,3
Singapur,5
Slovensko,23725
Vietnam,20786
Slovinsko,95
Somálsko,2
Jižní Afrika,65
Zimbabwe,8
Španělsko,566
Súdán,7
Surinam,2
Švédsko,240
Švýcarsko,82
Sýrie,220
Tádžikistán,27
Thajsko,250
Togo,3
Tonga,1
Trinidad a Tobago,1
Spojené arabské emiráty,2
Tunisko,248
Turecko,344
Turkmenistán,11
Uganda,8
Ukrajina,32769
Severní Makedonie,352
Egypt,178
Velká Británie a Severní Irsko,1675
Guernsey,1
Tanzanie,5
Spojené státy,1778
Burkina Faso,2
Uruguay,3
Uzbekistán,717
Venezuela,31
Jemen,29
Srbsko a Černá Hora,315
Zambie,4
