Občanství,2016 Q4
Afghánistán,51
Albánie,40
Alžírsko,150
Angola,34
Ázerbájdžán,64
Argentina,21
Austrálie,87
Rakousko,486
Bangladéš,13
Arménie,321
Belgie,113
Bolívie,9
Bosna a Hercegovina,282
Brazílie,51
Britské Panenské ostrovy,7
Kosovo,34
Bulharsko,1516
Myanmar,5
Bělorusko,565
Kambodža,9
Kamerun,18
Kanada,147
Šrí Lanka,13
Čad,80
Chile,24
Čína,250
Tchaj-wan,12
Vánoční ostrov,1
Kolumbie,30
Konžská republika,16
Demokratická republika Kongo,7
Kostarika,5
Chorvatsko,359
Kuba,46
Kypr,16
Česko,1910709
Benin,17
Dánsko,64
Dominikánská republika,6
Ekvádor,10
Salvador,2
Etiopie,11
Eritrea,1
Estonsko,23
Finsko,50
Alandy,42
Francie,500
Francouzská Guyana,1
Gruzie,87
Gambie,1
Palestina,8
Německo,3109
Ghana,48
Řecko,187
Guatemala,3
Guinea,14
Guyana,1
Honduras,3
Hongkong,1
Maďarsko,576
Island,9
Indie,100
Indonésie,5
Írán,28
Irák,56
Irsko,178
Izrael,81
Itálie,873
Pobřeží slonoviny,14
Jamajka,2
Japonsko,72
Kazachstán,531
Jordánsko,30
Keňa,7
Korejská lidově demokratická republika,3
Korejská republika,52
Kuvajt,2
Kyrgyzstán,68
Laos,4
Libanon,39
Lotyšsko,103
Libérie,1
Libye,16
Litva,128
Lucembursko,7
Madagaskar,7
Malajsie,7
Mali,3
Malta,9
Mauritánie,1
Mauricius,1
Mexiko,57
Monako,1
Mongolsko,211
Moldavsko,690
Černá Hora,29
Maroko,49
Namibie,2
Nepál,15
Nizozemsko,272
Nizozemské Antily,2
Curacao,1
Vanuatu,1
Nový Zéland,26
Niger,14
Nigérie,141
Norsko,20
Pákistán,69
Panama,1
Paraguay,3
Peru,43
Filipíny,36
Polsko,2268
Portugalsko,66
Guinea-Bissau,2
Portoriko,1
Katar,1
Rumunsko,1254
Rusko,2700
Rwanda,1
Svatý Kryštof a Nevis,1
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,192
Sierra Leone,1
Singapur,2
Slovensko,15442
Vietnam,22415
Slovinsko,66
Somálsko,2
Jižní Afrika,47
Zimbabwe,3
Španělsko,288
Súdán,7
Surinam,2
Švédsko,98
Švýcarsko,64
Sýrie,157
Tádžikistán,9
Thajsko,128
Spojené arabské emiráty,1
Tunisko,114
Turecko,133
Turkmenistán,7
Uganda,2
Ukrajina,22150
Makedonie,309
Egypt,85
Velká Británie,1603
Guernsey,1
Tanzanie,3
Spojené státy,1363
Burkina Faso,1
Uruguay,4
Uzbekistán,342
Venezuela,19
Jemen,23
Srbsko a Černá Hora,461
Zambie,3
