Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2018 Q3,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3
Afghánistán,004,AF,AFG,17,7,0,0,2,7,1,0,0,1,13,3,2,0
Albánie,008,AL,ALB,14,7,4,1,1,3,1,2,1,1,2,1,2,4
Alžírsko,012,DZ,DZA,95,23,4,0,0,8,2,0,1,1,8,3,2,1
Angola,024,AO,AGO,11,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,54,4,1,1,3,4,0,1,0,0,2,4,0,0
Argentina,032,AR,ARG,23,2,0,0,0,1,0,0,1,0,2,1,1,0
Austrálie,036,AU,AUS,58,5,5,3,0,5,4,4,7,0,6,2,3,3
Rakousko,040,AT,AUT,125,25,109,5,20,34,6,4,4,7,124,18,10,24
Bangladéš,050,BD,BGD,5,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,145,31,2,4,8,30,6,4,3,19,74,2,11,2
Belgie,056,BE,BEL,62,22,7,4,3,7,5,6,1,2,6,1,2,3
Bolívie,068,BO,BOL,5,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,132,34,5,1,4,16,11,7,5,0,44,7,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,54,5,3,1,0,3,0,1,1,0,7,1,2,0
Britské Panenské ostrovy,092,VG,VGB,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,10,7,0,4,6,4,0,1,3,1,4,1,2,0
Bulharsko,100,BG,BGR,763,236,53,74,31,117,40,25,23,42,119,80,70,27
Myanmar,104,MM,MMR,1,2,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,315,70,13,27,29,41,10,15,18,15,30,13,18,13
Kambodža,116,KH,KHM,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Kamerun,120,CM,CMR,13,1,0,1,0,1,2,0,0,0,0,0,0,0
Kanada,124,CA,CAN,109,12,8,4,1,1,3,4,5,0,5,4,6,5
Kapverdy,132,CV,CPV,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,144,LK,LKA,10,1,0,0,1,0,0,0,0,1,2,0,0,0
Čad,148,TD,TCD,16,10,3,10,1,6,4,11,2,2,9,3,4,0
Chile,152,CL,CHL,21,1,1,1,0,1,0,0,1,0,2,2,0,1
Čína,156,CN,CHN,169,32,5,4,1,23,0,2,2,3,9,2,7,2
Tchaj-wan,158,TW,TWN,9,0,0,1,1,1,0,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,29,2,0,1,0,0,0,1,1,0,2,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,5,3,0,0,0,2,0,1,0,0,0,1,1,0
Kostarika,188,CR,CRI,5,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,194,34,9,14,15,18,7,2,7,4,28,17,24,15
