Občanství,Součet
Afghánistán,52
Albánie,43
Alžírsko,156
Angola,35
Ázerbájdžán,82
Argentina,34
Austrálie,109
Rakousko,507
Bangladéš,13
Arménie,348
Belgie,134
Bolívie,12
Bosna a Hercegovina,275
Botswana,1
Brazílie,76
Britské Panenské ostrovy,6
Kosovo,47
Bulharsko,1762
Myanmar,6
Bělorusko,654
Kambodža,5
Kamerun,20
Kanada,175
Kapverdy,1
Šrí Lanka,15
Čad,85
Chile,32
Čína,267
Tchaj-wan,14
Vánoční ostrov,1
Kolumbie,43
Konžská republika,17
Demokratická republika Kongo,14
Kostarika,8
Chorvatsko,403
Kuba,51
Kypr,20
Česko,1943284
Benin,18
Dánsko,76
Dominikánská republika,5
Ekvádor,12
Salvador,2
Etiopie,13
Eritrea,1
Estonsko,29
Finsko,63
Alandy,36
Francie,637
Gabon,1
Gruzie,98
Gambie,2
Palestina,10
Německo,3129
Ghana,47
Řecko,229
Guatemala,4
Guinea,19
Guyana,1
Honduras,7
Hongkong,2
Maďarsko,922
Island,10
Indie,121
Indonésie,7
Írán,36
Irák,64
Irsko,200
Izrael,89
Itálie,1042
Pobřeží slonoviny,16
Jamajka,2
Japonsko,75
Kazachstán,592
Jordánsko,35
Keňa,10
Korejská lidově demokratická republika,3
Korejská republika,79
Kuvajt,4
Kyrgyzstán,78
Laos,5
Libanon,43
Lotyšsko,109
Libérie,1
Libye,15
Lichtenštejnsko,1
Litva,143
Lucembursko,6
Madagaskar,7
Malajsie,11
Mali,2
Malta,15
Mauritánie,1
Mauricius,2
Mexiko,68
Mongolsko,237
Moldavsko,736
Černá Hora,32
Maroko,59
Namibie,2
Nepál,9
Nizozemsko,308
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,31
Niger,15
Nigérie,154
Norsko,27
Pákistán,76
Panama,5
Paraguay,3
Peru,47
Filipíny,46
Polsko,2565
Portugalsko,94
Guinea-Bissau,2
Katar,1
Rumunsko,1809
Rusko,3208
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,217
Sierra Leone,3
Singapur,1
Slovensko,18119
Vietnam,21049
Slovinsko,80
Somálsko,2
Jižní Afrika,65
Zimbabwe,2
Španělsko,391
Súdán,7
Surinam,2
Švédsko,141
Švýcarsko,73
Sýrie,169
Tádžikistán,13
Thajsko,136
Togo,2
Spojené arabské emiráty,1
Tunisko,161
Turecko,184
Turkmenistán,6
Uganda,4
Ukrajina,22065
Makedonie,307
Egypt,110
Velká Británie,1837
Guernsey,1
Tanzanie,4
Spojené státy,1684
Burkina Faso,2
Uruguay,4
Uzbekistán,367
Venezuela,35
Jemen,28
Srbsko a Černá Hora,410
Zambie,5
Součet,2034238
Z toho cizinci,90954
