Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj
Afghánistán,004,AF,AFG,29,13,0,2,2,7,3,0,0,3,14,3,5,0
Albánie,008,AL,ALB,24,9,1,1,1,3,2,1,2,4,4,2,3,5
Antarktida,010,AQ,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alžírsko,012,DZ,DZA,102,27,4,4,1,16,2,1,1,4,11,6,6,2
Americká Samoa,016,AS,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,020,AD,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,024,AO,AGO,11,2,1,0,0,2,3,1,1,0,7,2,1,2
Antigua a Barbuda,028,AG,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ázerbájdžán,031,AZ,AZE,139,15,2,5,5,7,0,1,3,2,7,4,3,0
Argentina,032,AR,ARG,31,8,1,0,0,2,0,2,2,0,8,1,2,0
Austrálie,036,AU,AUS,68,7,6,5,0,5,4,2,4,0,6,2,5,2
Rakousko,040,AT,AUT,145,20,80,5,25,33,6,3,5,9,120,11,7,20
Bahamy,044,BS,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrajn,048,BH,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,050,BD,BGD,29,3,0,1,2,0,0,0,0,0,11,0,3,0
Arménie,051,AM,ARM,209,46,2,5,4,26,7,3,3,22,69,2,11,3
Barbados,052,BB,BRB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgie,056,BE,BEL,89,31,7,4,3,5,5,8,2,2,10,2,3,2
Bermudy,060,BM,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhútán,064,BT,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívie,068,BO,BOL,11,1,0,1,0,1,0,0,0,0,0,0,0,0
Bosna a Hercegovina,070,BA,BIH,153,39,5,2,6,15,13,7,5,0,42,8,9,2
Botswana,072,BW,BWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvetův ostrov,074,BV,BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazílie,076,BR,BRA,76,3,0,3,1,3,1,1,0,1,7,1,4,2
Belize,084,BZ,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britské indickooceánské území,086,IO,IOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šalomounovy ostrovy,090,SB,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
