Občanství,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2020 Q1,2024 Q1,2024 Q2,2024 Q3
Afghánistán,51,52,52,52,52,54,53,53,52,52,52,53,54,75,79,81
Alandy,42,41,41,41,41,40,38,37,37,36,35,35,35,25,25,25
Albánie,40,43,43,43,45,46,44,44,44,43,43,43,47,59,58,62
Alžírsko,150,145,143,142,142,142,145,148,151,156,159,162,168,178,182,187
Americká Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americké Panenské ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,34,33,34,33,33,33,34,34,34,35,35,37,37,34,32,33
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarktida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua a Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,21,23,26,24,25,29,31,31,32,34,34,33,36,55,57,57
Arménie,321,328,329,331,330,336,337,341,345,348,351,346,354,406,405,412
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrálie,87,90,91,95,103,107,108,105,107,109,107,103,107,115,115,116
Bahamy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bahrajn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladéš,13,15,12,13,12,13,13,11,12,13,11,11,10,32,39,49
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Belgie,113,114,117,119,121,120,126,131,134,134,134,136,146,172,175,173
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,17,17,17,17,17,18,18,18,18,18,18,18,18,18,17,17
Bermudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhútán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívie,9,9,9,9,9,9,9,10,11,12,13,14,14,14,14,14
