Počty podnikatelů dle občanství podnikajících v České republice,,,,,,,,,,,,,,,,,,
Období:,stav k 30. 6. 2016,,,,,,,,,,,,,,,,,
,,,,Hlavní,Středočeský,Jihočeský,Plzeňský,Karlovarský,Ústecký,Liberecký,Královéhradecký,Pardubický,Kraj,Jihomoravský,Olomoucký,Moravskoslezský,,
Občanství,Kód,Kód zn.,Kód zn.,,,,,,,,,,,,,,Zlínský kraj,Součet
,,,,město Praha,kraj,kraj,kraj,kraj,kraj,kraj,kraj,kraj,Vysočina,kraj,kraj,kraj,,
Afghánistán,4,AF,AFG,15,6,0,0,1,6,1,0,0,1,12,4,2,0,48
Albánie,8,AL,ALB,10,8,4,1,1,2,1,2,1,0,2,2,1,3,38
Alžírsko,12,DZ,DZA,99,21,3,0,1,9,2,1,1,0,8,2,3,0,150
Angola,24,AO,AGO,9,2,2,0,0,3,2,1,1,0,6,3,4,2,35
Ázerbájdžán,31,AZ,AZE,37,5,0,2,4,4,0,1,0,0,2,4,0,0,59
Argentina,32,AR,ARG,15,1,0,0,0,2,0,0,1,0,1,0,1,0,21
Austrálie,36,AU,AUS,40,3,4,3,0,5,5,3,6,0,7,3,3,3,85
Rakousko,40,AT,AUT,93,25,108,3,20,35,7,5,4,6,120,16,9,24,475
Bangladéš,50,BD,BGD,6,1,0,1,1,0,0,4,0,0,0,0,2,0,15
Arménie,51,AM,ARM,133,23,2,4,8,33,6,4,3,19,72,2,13,2,324
Belgie,56,BE,BEL,46,18,6,4,4,7,4,5,1,2,6,1,3,3,110
Bolívie,68,BO,BOL,4,2,0,0,0,1,2,0,0,0,1,0,0,0,10
Bosna a Hercegovina,70,BA,BIH,136,35,5,0,4,16,9,6,6,0,49,6,10,1,283
Brazílie,76,BR,BRA,31,3,1,1,0,2,0,1,2,0,4,1,1,0,47
Britské Panenské ostrovy,92,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Kosovo,95,XK,XXK,9,5,0,2,3,3,2,3,0,0,4,1,2,0,34
Bulharsko,100,BG,BGR,620,218,55,37,28,109,37,24,26,47,131,80,58,25,1 495
Myanmar,104,MM,MMR,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
Bělorusko,112,BY,BLR,267,57,15,31,24,34,9,13,14,14,29,12,15,11,545
Kambodža,116,KH,KHM,1,2,0,0,0,0,1,0,0,0,1,0,0,3,8
Kamerun,120,CM,CMR,12,1,0,0,0,3,1,0,0,0,1,0,0,0,18
Kanada,124,CA,CAN,99,10,6,3,1,0,3,4,5,0,3,3,5,6,148
Šrí Lanka,144,LK,LKA,8,1,0,0,1,0,0,0,0,1,1,0,0,0,12
Čad,148,TD,TCD,18,7,4,9,0,9,3,10,3,0,7,2,4,0,76
Chile,152,CL,CHL,16,1,0,1,0,1,0,0,1,0,1,2,0,1,24
Čína,156,CN,CHN,164,28,5,5,1,24,0,2,3,3,6,2,7,2,252
Tchaj-wan,158,TW,TWN,10,0,0,1,1,0,1,0,0,0,0,0,0,0,13
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kolumbie,170,CO,COL,14,4,0,1,0,0,0,2,2,0,1,1,1,0,26
Konžská republika,178,CG,COG,9,2,0,1,0,2,0,0,0,0,0,1,0,0,15
Demokratická republika,,,,,,,,,,,,,,,,,,
,180,CD,COD,2,2,0,0,0,2,0,0,0,0,0,0,1,0,7
Kongo,,,,,,,,,,,,,,,,,,
Kostarika,188,CR,CRI,1,2,0,0,0,0,0,0,0,0,1,0,0,0,4
Chorvatsko,191,HR,HRV,157,31,5,14,18,16,7,2,8,3,27,16,24,14,342
Kuba,192,CU,CUB,15,7,1,1,0,4,2,3,0,1,2,3,2,3,44
Kypr,196,CY,CYP,13,0,2,0,0,0,0,0,0,0,0,0,1,0,16
Česko,203,CZ,CZE,292 916,246 283,120 012,102 598,50 949,124 291,88 897,103 432,87 843,83 358,210 283,104 233,183 967,106 312,1 905 374
Benin,204,BJ,BEN,9,1,0,0,0,4,0,0,0,0,0,1,1,1,17
Dánsko,208,DK,DNK,39,5,0,1,2,3,1,0,0,1,3,1,4,1,61
Dominikánská republika,214,DO,DOM,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Ekvádor,218,EC,ECU,2,4,0,1,0,0,0,1,0,0,1,1,1,0,11
Salvador,222,SV,SLV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Etiopie,231,ET,ETH,10,1,0,0,0,0,0,0,0,0,0,0,0,0,11
,,,,,,,,,1 / 4,,,,,,,,,
Počty podnikatelů dle občanství podnikajících v České republice,,,,,,,,,,,,,,,,,,
Období:,stav k 30. 6. 2016,,,,,,,,,,,,,,,,,
,,,,Hlavní,Středočeský,Jihočeský,Plzeňský,Karlovarský,Ústecký,Liberecký,Královéhradecký,Pardubický,Kraj,Jihomoravský,Olomoucký,Moravskoslezský,,
Občanství,Kód,Kód zn.,Kód zn.,,,,,,,,,,,,,,Zlínský kraj,Součet
,,,,město Praha,kraj,kraj,kraj,kraj,kraj,kraj,kraj,kraj,Vysočina,kraj,kraj,kraj,,
Eritrea,232,ER,ERI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonsko,233,EE,EST,14,3,0,0,1,2,0,1,0,0,2,0,0,0,23
Finsko,246,FI,FIN,34,2,0,0,0,2,0,1,0,2,2,2,0,0,45
Alandy,248,AX,ALA,10,6,0,0,7,4,1,2,0,0,6,1,5,0,42
Francie,250,FR,FRA,316,43,13,15,5,7,3,1,11,7,29,10,13,8,481
Francouzská Guyana,254,GF,GUF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gruzie,268,GE,GEO,58,8,2,2,6,2,0,0,1,0,3,0,3,0,85
Gambie,270,GM,GMB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Palestina,275,PS,PSE,1,3,1,0,0,0,0,0,0,1,0,0,1,0,7
Německo,276,DE,DEU,414,214,92,256,330,1 354,77,47,32,23,91,61,55,22,3 068
Ghana,288,GH,GHA,25,4,0,0,0,8,1,1,3,0,3,1,0,1,47
Řecko,300,GR,GRC,64,9,0,1,3,6,7,4,4,3,27,14,39,1,182
Guatemala,320,GT,GTM,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Guinea,324,GN,GIN,11,1,0,0,0,0,0,0,0,0,1,0,1,0,14
Guyana,328,GY,GUY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honduras,340,HN,HND,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Hongkong,344,HK,HKG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Maďarsko,348,HU,HUN,218,41,12,41,13,21,13,28,15,12,60,13,22,1,510
Island,352,IS,ISL,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9
Indie,356,IN,IND,60,8,0,2,3,3,2,1,1,0,8,0,7,1,96
Indonésie,360,ID,IDN,1,0,0,0,0,1,1,0,1,0,0,0,0,0,4
Írán,364,IR,IRN,11,1,1,3,0,0,4,1,0,0,1,2,0,1,25
Irák,368,IQ,IRQ,22,11,1,1,0,8,1,1,0,0,8,0,2,0,55
Irsko,372,IE,IRL,101,14,5,12,3,4,0,4,3,2,8,2,5,2,165
Izrael,376,IL,ISR,44,6,0,1,4,4,0,3,1,0,4,0,1,1,69
Itálie,380,IT,ITA,424,62,18,26,19,44,10,9,14,5,79,30,58,40,838
Pobřeží slonoviny,384,CI,CIV,8,1,0,0,1,1,1,0,0,0,0,1,0,0,13
Jamajka,388,JM,JAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Japonsko,392,JP,JPN,50,6,0,0,0,2,0,2,1,1,6,1,1,1,71
Kazachstán,398,KZ,KAZ,298,87,3,4,21,43,11,6,2,4,6,7,3,1,496
Jordánsko,400,JO,JOR,14,5,0,0,0,3,2,0,2,0,2,0,1,1,30
Keňa,404,KE,KEN,2,0,0,0,0,2,0,0,0,0,0,0,2,0,6
Korejská lidově,,,,,,,,,,,,,,,,,,
,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
demokratická republika,,,,,,,,,,,,,,,,,,
Korejská republika,410,KR,KOR,36,1,0,1,0,0,0,0,0,0,0,1,9,1,49
Kuvajt,414,KW,KWT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Kyrgyzstán,417,KG,KGZ,31,4,1,1,16,3,1,0,0,0,3,1,0,0,61
Laos,418,LA,LAO,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4
Libanon,422,LB,LBN,18,1,1,2,1,6,2,1,3,1,0,2,0,0,38
Lotyšsko,428,LV,LVA,40,7,11,4,2,4,1,1,0,8,20,0,0,1,99
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Libye,434,LY,LBY,8,1,0,0,0,0,0,1,0,0,4,0,1,0,15
Litva,440,LT,LTU,41,13,4,8,3,3,4,3,2,22,15,0,1,1,120
Lucembursko,442,LU,LUX,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7
,,,,,,,,,2 / 4,,,,,,,,,
Počty podnikatelů dle občanství podnikajících v České republice,,,,,,,,,,,,,,,,,,
Období:,stav k 30. 6. 2016,,,,,,,,,,,,,,,,,
,,,,Hlavní,Středočeský,Jihočeský,Plzeňský,Karlovarský,Ústecký,Liberecký,Královéhradecký,Pardubický,Kraj,Jihomoravský,Olomoucký,Moravskoslezský,,
Občanství,Kód,Kód zn.,Kód zn.,,,,,,,,,,,,,,Zlínský kraj,Součet
,,,,město Praha,kraj,kraj,kraj,kraj,kraj,kraj,kraj,kraj,Vysočina,kraj,kraj,kraj,,
Malajsie,458,MY,MYS,4,0,0,0,0,1,0,0,0,0,2,0,0,0,7
Mali,466,ML,MLI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Malta,470,MT,MLT,4,1,1,0,0,1,0,1,0,0,0,0,1,0,9
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mauricius,480,MU,MUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexiko,484,MX,MEX,36,2,1,1,1,0,0,2,2,0,3,0,2,0,50
Monako,492,MC,MCO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mongolsko,496,MN,MNG,67,11,1,11,11,12,9,11,4,10,40,10,3,13,213
Moldavsko,498,MD,MDA,254,111,22,51,15,38,36,27,14,27,56,27,7,18,703
Černá Hora,499,ME,MNE,11,2,0,2,3,2,1,1,0,0,2,2,1,0,27
Maroko,504,MA,MAR,34,7,0,0,0,2,1,0,0,0,1,1,2,1,49
Namibie,516,NA,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nepál,524,NP,NPL,1,1,0,4,0,4,0,1,0,0,4,0,0,0,15
Nizozemsko,528,NL,NLD,86,31,24,11,5,18,20,17,7,6,25,8,4,9,271
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Curacao,531,CW,CUW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nový Zéland,554,NZ,NZL,8,3,0,0,0,2,3,1,0,0,2,0,2,1,22
Niger,562,NE,NER,11,2,0,0,0,0,0,0,0,0,1,0,0,0,14
Nigérie,566,NG,NGA,107,7,2,0,2,13,2,1,1,0,4,0,2,1,142
Norsko,578,NO,NOR,11,3,2,0,0,1,2,0,0,0,0,0,1,0,20
Pákistán,586,PK,PAK,39,9,0,6,0,5,0,1,0,1,3,1,1,0,66
Panama,591,PA,PAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Peru,604,PE,PER,15,10,0,0,0,5,0,0,1,0,8,1,2,1,43
Filipíny,608,PH,PHL,24,1,0,1,0,6,0,0,1,0,0,0,0,1,34
Polsko,616,PL,POL,344,165,39,53,30,116,133,261,61,23,115,129,678,33,2 180
Portugalsko,620,PT,PRT,33,5,0,3,2,1,2,1,1,1,5,1,5,0,60
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Portoriko,630,PR,PRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katar,634,QA,QAT,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Rumunsko,642,RO,ROU,421,115,28,207,30,69,21,34,44,14,102,40,14,43,1 182
Rusko,643,RU,RUS,1 636,322,19,37,182,118,37,20,17,16,90,30,45,20,2 589
Rwanda,646,RW,RWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Tomáš a Princův,,,,,,,,,,,,,,,,,,
,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ostrov,,,,,,,,,,,,,,,,,,
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,8,6,0,0,0,1,0,1,0,0,0,0,0,0,16
Srbsko,688,RS,SRB,98,13,1,8,11,11,4,4,0,0,16,4,10,4,184
Singapur,702,SG,SGP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Slovensko,703,SK,SVK,5 181,2 042,461,608,247,528,393,390,366,287,1 910,449,1 271,817,14 950
Vietnam,704,VN,VNM,4 262,2 087,1 043,2 552,3 175,3 701,857,591,537,465,1 417,517,1 144,317,22 665
Slovinsko,705,SI,SVN,33,6,2,0,2,2,2,1,1,0,7,1,5,2,64
,,,,,,,,,3 / 4,,,,,,,,,
Počty podnikatelů dle občanství podnikajících v České republice,,,,,,,,,,,,,,,,,,
Období:,stav k 30. 6. 2016,,,,,,,,,,,,,,,,,
,,,,Hlavní,Středočeský,Jihočeský,Plzeňský,Karlovarský,Ústecký,Liberecký,Královéhradecký,Pardubický,Kraj,Jihomoravský,Olomoucký,Moravskoslezský,,
Občanství,Kód,Kód zn.,Kód zn.,,,,,,,,,,,,,,Zlínský kraj,Součet
,,,,město Praha,kraj,kraj,kraj,kraj,kraj,kraj,kraj,kraj,Vysočina,kraj,kraj,kraj,,
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Jižní Afrika,710,ZA,ZAF,23,5,3,0,0,2,1,1,0,0,7,2,1,2,47
Zimbabwe,716,ZW,ZWE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
Španělsko,724,ES,ESP,189,16,5,4,3,4,4,3,6,1,20,7,7,2,271
Súdán,729,SD,SDN,4,1,0,0,0,1,0,0,0,0,0,0,0,0,6
Západní Sahara,732,EH,ESH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Surinam,740,SR,SUR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Švédsko,752,SE,SWE,46,9,3,2,4,9,2,0,0,3,9,0,3,2,92
Švýcarsko,756,CH,CHE,27,7,3,1,5,2,4,1,1,1,5,0,2,1,60
Sýrie,760,SY,SYR,34,12,1,11,3,17,6,7,1,1,31,7,14,5,150
Tádžikistán,762,TJ,TJK,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5
Thajsko,764,TH,THA,82,7,3,10,1,3,1,1,1,0,4,1,1,2,117
Tunisko,788,TN,TUN,54,14,6,4,1,6,4,4,0,0,6,1,5,1,106
Turecko,792,TR,TUR,43,11,6,5,4,18,6,7,3,2,5,4,8,5,127
Turkmenistán,795,TM,TKM,3,0,0,0,1,0,0,0,0,0,2,0,0,0,6
