Občanství,2018 Q2
Afghánistán,53
Albánie,44
Alžírsko,145
Angola,34
Ázerbájdžán,78
Argentina,31
Austrálie,108
Rakousko,514
Bangladéš,13
Arménie,337
Belgie,126
Bolívie,9
Bosna a Hercegovina,277
Botswana,1
Brazílie,77
Britské Panenské ostrovy,6
Kosovo,42
Bulharsko,1688
Myanmar,5
Bělorusko,624
Kambodža,5
Kamerun,18
Kanada,165
Kapverdy,1
Šrí Lanka,14
Čad,84
Chile,30
Čína,263
Tchaj-wan,13
Vánoční ostrov,1
Kolumbie,38
Konžská republika,15
Demokratická republika Kongo,13
Kostarika,8
Chorvatsko,386
Kuba,46
Kypr,19
Česko,1930027
Benin,18
Dánsko,71
Dominikánská republika,6
Ekvádor,11
Salvador,2
Etiopie,13
Eritrea,1
Estonsko,29
Finsko,60
Alandy,38
Francie,595
Gabon,1
Gruzie,95
Gambie,1
Palestina,12
Německo,3157
Ghana,50
Řecko,219
Guatemala,3
Guinea,18
Guyana,1
Honduras,5
Hongkong,1
Maďarsko,771
Island,12
Indie,118
Indonésie,7
Írán,29
Irák,64
Irsko,190
Izrael,88
Itálie,981
Pobřeží slonoviny,16
Jamajka,3
Japonsko,71
Kazachstán,569
Jordánsko,32
Keňa,9
Korejská lidově demokratická republika,3
Korejská republika,63
Kuvajt,4
Kyrgyzstán,79
Laos,5
Libanon,44
Lotyšsko,94
Libérie,1
Libye,15
Lichtenštejnsko,1
Litva,136
Lucembursko,6
Madagaskar,7
Malajsie,9
Mali,2
Malta,12
Mauritánie,1
Mauricius,2
Mexiko,67
Monako,1
Mongolsko,228
Moldavsko,726
Černá Hora,27
Maroko,51
Namibie,3
Nepál,11
Nizozemsko,296
Nizozemské Antily,2
Vanuatu,1
Nový Zéland,32
Niger,15
Nigérie,152
Norsko,25
Pákistán,74
Panama,2
Paraguay,3
Peru,45
Filipíny,46
Polsko,2474
Portugalsko,83
Guinea-Bissau,2
Katar,1
Rumunsko,1560
Rusko,3014
Svatá Lucie,1
Svatý Tomáš a Princův ostrov,2
Saúdská Arábie,1
Senegal,16
Srbsko,207
Sierra Leone,3
Singapur,2
Slovensko,17150
Vietnam,21500
Slovinsko,70
Somálsko,2
Jižní Afrika,62
Zimbabwe,4
Španělsko,367
Súdán,8
Surinam,2
Švédsko,129
Švýcarsko,71
Sýrie,163
Tádžikistán,13
Thajsko,126
Togo,1
Spojené arabské emiráty,1
Tunisko,141
Turecko,167
Turkmenistán,8
Uganda,3
Ukrajina,21830
Makedonie,304
Egypt,100
Velká Británie,1753
Guernsey,1
Tanzanie,4
Spojené státy,1602
Burkina Faso,1
Uruguay,4
Uzbekistán,388
Venezuela,33
Jemen,25
Srbsko a Černá Hora,421
Zambie,5
